namespace,deployment_name,deployment_type,deployment_replicas,deployment_labels,node_names,pod_images,pod_resources,pod_cpu_usages,pod_memory_usages,services,service_ports,routes,route_hosts,hpas,quota_name,quota_limits,pv_name,pv_capacity,pv_access_modes,pv_reclaim_policy,pvc_name,pvc_volume_name,pvc_access_modes,pvc_capacity,secret_name,secret_type,configmap_name,node_selector
hello-world,hellogo,Deployment,1,"{'app': 'hellogo', 'app.kubernetes.io/component': 'hellogo', 'app.kubernetes.io/instance': 'hellogo'}",crc,"quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:97b3e5992ac093e70233b62ae8e821d765f0fc504ad154ea69cf2c7c18455f46,image-registry.openshift-image-registry.svc:5000/hello-world/hellogo@sha256:9367d485e8778b4ab07b6385de85afee1cd5a878a6ea3ad8d37233d111c157df","{},{}","N/A,0m","N/A,9Mi",hellogo,3000,hellogo,hellogo-hello-world.apps-crc.testing,,hello-world,"{'limits.cpu': '500m', 'limits.memory': '512Mi', 'pods': '14', 'requests.cpu': '250m', 'requests.memory': '107374182400m'}",,,,,,,,,,,hellogo-1-sys-config,
test-ajpardos,java-springboot-basic,Deployment,1,"{'app': 'java-springboot-basic', 'app.kubernetes.io/component': 'java-springboot-basic', 'app.kubernetes.io/instance': 'java-springboot-basic', 'app.kubernetes.io/name': 'java-springboot-basic', 'app.kubernetes.io/part-of': 'sample-app', 'app.openshift.io/runtime': 'spring-boot'}",crc,"image-registry.openshift-image-registry.svc:5000/test-ajpardos/java-springboot-basic:latest,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:97b3e5992ac093e70233b62ae8e821d765f0fc504ad154ea69cf2c7c18455f46","{},{'requests': {'cpu': '10m', 'memory': '180Mi'}}","N/A,0m","N/A,193Mi","java-springboot-basic,nodejs-basic","8081,3001","java-springboot-basic,nodejs-basic","java-springboot-basic-test-ajpardos.apps-crc.testing,nodejs-basic-test-ajpardos.apps-crc.testing",,,,,,,,,,,,,,,
test-ajpardos,nodejs-basic,Deployment,1,"{'app': 'nodejs-basic', 'app.kubernetes.io/component': 'nodejs-basic', 'app.kubernetes.io/instance': 'nodejs-basic', 'app.kubernetes.io/name': 'nodejs-basic', 'app.kubernetes.io/part-of': 'sample-app', 'app.openshift.io/runtime': 'nodejs'}",crc,"image-registry.openshift-image-registry.svc:5000/test-ajpardos/nodejs-basic:latest,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:97b3e5992ac093e70233b62ae8e821d765f0fc504ad154ea69cf2c7c18455f46","{},{'requests': {'cpu': '10m', 'memory': '50Mi'}}","N/A,2m","N/A,62Mi","java-springboot-basic,nodejs-basic","8081,3001","java-springboot-basic,nodejs-basic","java-springboot-basic-test-ajpardos.apps-crc.testing,nodejs-basic-test-ajpardos.apps-crc.testing",,test-ajpardos,"{'limits.cpu': '500m', 'limits.memory': '512Mi', 'pods': '4', 'requests.cpu': '250m', 'requests.memory': '107374182400m'}",,,,,,,,,nodejs-basic-generic-webhook-secret,Opaque,nodejs-basic-1-sys-config,crc
test-namespace-1,test-deployment-1,Deployment,2,{},N/A,nginx:latest,"{'limits': {'cpu': '500m', 'memory': '512Mi'}, 'requests': {'cpu': '250m', 'memory': '256Mi'}},{'limits': {'cpu': '500m', 'memory': '512Mi'}, 'requests': {'cpu': '250m', 'memory': '256Mi'}}","N/A,N/A","N/A,N/A",test-service-1,80,,,test-hpa-1,,,,,,,,,,,,,,
test-namespace-1,test-statefulset-1,StatefulSet,2,{},N/A,nginx:latest,"{'limits': {'cpu': '1', 'memory': '1Gi'}, 'requests': {'cpu': '500m', 'memory': '512Mi'}}",N/A,N/A,test-service-1,80,,,test-hpa-1,,,,,,,test-pvc-1,N/A,N/A,N/A,test-secret-1,Opaque,test-configmap-1,
test-namespace-2,test-deployment-2,Deployment,3,{},N/A,nginx:latest,"{'limits': {'cpu': '1', 'memory': '1Gi'}, 'requests': {'cpu': '500m', 'memory': '512Mi'}},{'limits': {'cpu': '1', 'memory': '1Gi'}, 'requests': {'cpu': '500m', 'memory': '512Mi'}},{'limits': {'cpu': '1', 'memory': '1Gi'}, 'requests': {'cpu': '500m', 'memory': '512Mi'}}","N/A,N/A,N/A","N/A,N/A,N/A",test-service-2,80,,,test-hpa-2,,,,,,,,,,,,,,
test-namespace-2,test-statefulset-2,StatefulSet,3,{},N/A,nginx:latest,"{'limits': {'cpu': '2', 'memory': '2Gi'}, 'requests': {'cpu': '1', 'memory': '1Gi'}}",N/A,N/A,test-service-2,80,,,test-hpa-2,,,,,,,test-pvc-2,N/A,N/A,N/A,test-secret-2,Opaque,test-configmap-2,
test-namespace-3,test-deployment-3,Deployment,1,{},N/A,nginx:latest,"{'limits': {'cpu': '250m', 'memory': '256Mi'}, 'requests': {'cpu': '125m', 'memory': '128Mi'}}",N/A,N/A,test-service-3,80,,,test-hpa-3,,,,,,,test-pvc-3,N/A,N/A,N/A,test-secret-3,Opaque,test-configmap-3,
